,Word,POS,Sentiment
0,abandoned,adj,negative
1,abandonment,noun,negative
2,abandon,verb,negative
3,abase,verb,negative
4,abasement,anypos,negative
5,abash,verb,negative
6,abate,verb,negative
7,abdicate,verb,negative
8,aberration,adj,negative
9,aberration,noun,negative
10,abhor,anypos,negative
11,abhor,verb,negative
12,abhorred,adj,negative
13,abhorrence,noun,negative
14,abhorrent,adj,negative
15,abhorrently,anypos,negative
16,abhors,adj,negative
17,abhors,noun,negative
18,abidance,adj,positive
19,abidance,noun,positive
20,abide,anypos,positive
21,abject,adj,negative
22,abjectly,adverb,negative
23,abjure,verb,negative
24,abilities,noun,positive
25,ability,noun,positive
26,able,adj,positive
27,abnormal,adj,negative
28,abolish,verb,negative
29,abominable,adj,negative
30,abominably,anypos,negative
31,abominate,verb,negative
32,abomination,noun,negative
33,above,anypos,positive
34,above-average,adj,positive
35,abound,verb,positive
36,abrade,verb,negative
37,abrasive,adj,negative
38,abrupt,adj,negative
39,abscond,verb,negative
40,absence,noun,negative
41,absentee,anypos,negative
42,absent-minded,adj,negative
43,absolve,verb,positive
44,absolute,adj,neutral
45,absolutely,adj,neutral
46,absorbed,verb,neutral
47,absurd,adj,negative
48,absurdity,noun,negative
49,absurdly,anypos,negative
50,absurdness,noun,negative
51,abundant,adj,positive
52,abundance,noun,positive
53,abuse,adj,negative
54,abuse,noun,negative
55,abuse,verb,negative
56,abuses,adj,negative
57,abuses,noun,negative
58,abusive,adj,negative
59,abysmal,adj,negative
60,abysmally,anypos,negative
61,abyss,noun,negative
62,accede,verb,positive
63,accentuate,verb,neutral
64,accept,verb,positive
65,acceptance,noun,positive
66,acceptable,adj,positive
67,accessible,adj,positive
68,accidental,adj,negative
69,acclaim,noun,positive
70,acclaim,verb,positive
71,acclaimed,adj,positive
72,acclamation,anypos,positive
73,accolade,noun,positive
74,accolades,noun,positive
75,accommodative,adj,positive
76,accomplish,verb,positive
77,accomplishment,noun,positive
78,accomplishments,noun,positive
79,accord,verb,positive
80,accordance,noun,positive
81,accordantly,adverb,positive
82,accost,verb,negative
83,accountable,adj,negative
84,accurate,adj,positive
85,accurately,adj,positive
86,accursed,adj,negative
87,accusation,adj,negative
88,accusation,noun,negative
89,accusations,adj,negative
90,accusations,noun,negative
91,accuse,verb,negative
92,accuses,verb,negative
93,accusing,anypos,negative
94,accusingly,anypos,negative
95,acerbate,verb,negative
96,acerbic,adj,negative
97,acerbically,adverb,negative
98,ache,verb,negative
99,achievable,adj,positive
100,achieve,verb,positive
101,achievement,anypos,positive
102,achievements,anypos,positive
103,acknowledge,verb,positive
104,acknowledgement,noun,positive
105,acquit,verb,positive
106,acrid,adj,negative
107,acridly,anypos,negative
108,acridness,noun,negative
109,acrimonious,adj,negative
110,acrimoniously,anypos,negative
111,acrimony,noun,negative
112,active,adj,positive
113,activist,adj,neutral
114,activist,noun,neutral
115,actual,anypos,neutral
116,actuality,anypos,neutral
117,actually,anypos,neutral
118,acumen,noun,positive
119,adamant,adj,negative
120,adamantly,anypos,negative
121,adaptable,adj,positive
122,adaptability,noun,positive
123,adaptive,adj,positive
124,addict,noun,negative
125,addiction,noun,negative
126,adept,adj,positive
127,adeptly,adverb,positive
128,adequate,adj,positive
129,adherence,noun,positive
130,adherent,adj,positive
131,adhesion,noun,positive
132,admirable,adj,positive
133,admirer,noun,positive
134,admirable,anypos,positive
135,admirably,anypos,positive
136,admiration,noun,positive
137,admire,verb,positive
138,admiring,adj,positive
139,admiringly,adj,positive
140,admission,adj,positive
141,admission,noun,positive
142,admit,verb,positive
143,admittedly,anypos,positive
144,admonish,verb,negative
145,admonisher,anypos,negative
146,admonishingly,anypos,negative
147,admonishment,anypos,negative
148,admonition,noun,negative
149,adolescents,adj,neutral
150,adolescents,noun,neutral
151,adorable,adj,positive
152,adore,verb,positive
153,adored,adj,positive
154,adorer,anypos,positive
155,adorer,noun,positive
156,adoring,adj,positive
157,adoringly,anypos,positive
158,adrift,anypos,negative
159,adroit,adj,positive
160,adroitly,adj,positive
161,adulate,verb,positive
162,adulation,anypos,positive
163,adulatory,adj,positive
164,adulterate,verb,negative
165,adulterated,anypos,negative
166,adulteration,noun,negative
167,advanced,adj,positive
168,advantage,adj,positive
169,advantage,noun,positive
170,advantageous,adj,positive
171,advantages,adj,positive
172,advantages,noun,positive
173,adventure,adj,positive
174,adventure,noun,positive
175,adventuresome,noun,positive
176,adventurism,noun,positive
177,adventurous,adj,positive
178,adversarial,adj,negative
179,adversary,noun,negative
180,adverse,adj,negative
181,adversity,noun,negative
182,advice,adj,positive
183,advice,noun,positive
184,advisable,noun,positive
185,advocate,verb,positive
186,advocacy,noun,positive
187,affable,adj,positive
188,affability,noun,positive
189,affably,adverb,positive
190,affect,verb,neutral
191,affectation,noun,negative
192,affected,adj,neutral
193,affection,adj,positive
194,affection,noun,positive
195,affectionate,adj,positive
196,affinity,noun,positive
197,affirm,verb,positive
198,affirmation,adj,positive
199,affirmation,noun,positive
200,affirmative,noun,positive
201,afflict,verb,negative
202,affliction,noun,negative
203,afflictive,adj,negative
204,affluent,adj,positive
205,affluence,noun,positive
206,afford,verb,positive
207,affordable,adj,positive
208,affront,noun,negative
209,affront,verb,negative
210,afloat,adj,positive
211,afraid,adj,negative
212,against,anypos,negative
213,aggravate,verb,negative
214,aggravating,adj,negative
215,aggravation,noun,negative
216,aggression,adj,negative
217,aggression,noun,negative
218,aggressive,anypos,negative
219,aggressiveness,noun,negative
220,aggressor,noun,negative
221,aggrieve,verb,negative
222,aggrieved,adj,negative
223,aghast,adj,negative
224,agile,adj,positive
225,agilely,adverb,positive
226,agility,noun,positive
227,agitate,verb,negative
228,agitated,adj,negative
229,agitation,noun,negative
230,agitator,noun,negative
231,agonies,noun,negative
232,agonize,verb,negative
233,agonizing,adj,negative
234,agonizing,anypos,negative
235,agonizingly,anypos,negative
236,agony,noun,negative
237,agree,verb,positive
238,agreeability,anypos,positive
239,agreeable,adj,positive
240,agreeable,anypos,positive
241,agreeableness,anypos,positive
242,agreeably,anypos,positive
243,agreement,adj,positive
244,agreement,noun,positive
245,aha,anypos,neutral
246,ail,noun,negative
247,ail,verb,negative
248,ailment,noun,negative
249,aimless,adj,negative
250,air,verb,neutral
251,airs,adj,negative
252,airs,noun,negative
253,alarm,adj,negative
254,alarm,verb,negative
255,alarmed,adj,negative
256,alarming,adj,negative
257,alarmingly,anypos,negative
258,alas,anypos,negative
259,alert,adj,neutral
260,alienate,verb,negative
261,alienated,adj,negative
262,alienation,noun,negative
263,all-time,adj,neutral
264,all-time,noun,neutral
265,allay,verb,positive
266,allegation,anypos,negative
267,allegations,adj,negative
268,allege,verb,negative
269,allegations,noun,negative
270,allegorize,verb,neutral
271,allergic,adj,negative
272,alleviate,verb,positive
273,alliance,anypos,neutral
274,alliances,adj,neutral
275,alliances,noun,neutral
276,allow,verb,positive
277,allowable,adj,positive
278,allure,verb,positive
279,allure,noun,positive
280,alluring,anypos,positive
281,alluringly,anypos,positive
282,allusion,adj,neutral
283,allusion,noun,neutral
284,allusions,anypos,neutral
285,ally,noun,positive
286,almighty,adj,positive
287,aloof,adj,negative
288,altercation,noun,negative
289,although,anypos,negative
290,altogether,anypos,neutral
291,altruist,noun,positive
292,altruistic,adj,positive
293,altruistically,adj,positive
294,amaze,verb,positive
295,amazed,adj,positive
296,amazement,noun,positive
297,amazing,adj,positive
298,amazing,anypos,positive
299,amazingly,anypos,positive
300,ambiguous,adj,negative
301,ambiguity,noun,negative
302,ambitious,adj,positive
303,ambitious,noun,positive
304,ambitiously,anypos,positive
305,ambivalence,anypos,negative
306,ambivalent,adj,negative
307,ambivalent,noun,negative
308,ambush,noun,negative
309,ambush,verb,negative
310,ameliorate,verb,positive
311,amenable,adj,positive
312,amenity,noun,positive
313,amiability,noun,positive
